"frequency_hz","frequency_khz","ka","f_bs_real_acousticts","f_bs_imag_acousticts","sigma_bs_acousticts","TS_acousticts","f_bs_real_echopop","f_bs_imag_echopop","sigma_bs_echopop","TS_echopop","f_bs_real_zooscatr","f_bs_imag_zooscatr","sigma_bs_zooscatr","TS_zooscatr"
108000,108,0.45238934211693,1.77192399728998e-06,-4.88510785132628e-09,3.13973851645081e-12,-115.031065193125,1.77183836519411e-06,-4.85909595540729e-09,3.13943480318723e-12,-115.03148531529,1.77192399728998e-06,-4.88510785132332e-09,3.13973851645082e-12,-115.031065193125
110000,110,0.460766922526503,9.06061375944158e-07,-4.98094385600374e-09,8.20972026779517e-13,-120.856716404716,9.05991406972289e-07,-4.95414396608207e-09,8.20844973050064e-13,-120.857388571392,9.06061375944158e-07,-4.98094385600619e-09,8.20972026779518e-13,-120.856716404716
112000,112,0.469144502936076,3.64987654592143e-09,-5.01682685912405e-09,3.84901505348958e-17,-164.146503903773,3.59787970344765e-09,-4.98954820882568e-09,3.78403296886761e-17,-164.22045088408,3.6498765459204e-09,-5.01682685912463e-09,3.84901505348942e-17,-164.146503903773
114000,114,0.477522083345649,-9.23324491816583e-07,-4.98990477601043e-09,8.52553016338026e-13,-120.692786047259,-9.23356348136325e-07,-4.96250790948281e-09,8.52611572128402e-13,-120.692487771576,-9.23324491816593e-07,-4.98990477601161e-09,8.52553016338043e-13,-120.692786047259
116000,116,0.485899663755221,-1.86221241935082e-06,-4.89810198235134e-09,3.46785908618746e-12,-114.599385580628,-1.86222216346872e-06,-4.87099848614134e-09,3.46789511274036e-12,-114.599340463305,-1.86221241935083e-06,-4.89810198234445e-09,3.46785908618748e-12,-114.599385580628
118000,118,0.494277244164794,-2.79988087327421e-06,-4.74017630809338e-09,7.83935537379821e-12,-111.057196476615,-2.79986678719486e-06,-4.71382744660856e-09,7.83927624620609e-12,-111.057240312937,-2.79988087327421e-06,-4.74017630809275e-09,7.83935537379821e-12,-111.057196476615
120000,120,0.502654824574367,-3.72290353412917e-06,-4.51576556149518e-09,1.38600311165701e-11,-108.582357947069,-3.7228642103334e-06,-4.49067970573687e-09,1.38597380947856e-11,-108.582449764388,-3.72290353412917e-06,-4.51576556149394e-09,1.38600311165701e-11,-108.582357947069
122000,122,0.51103240498394,-4.61775927539031e-06,-4.22542259727468e-09,2.13237185796494e-11,-106.711370577224,-4.61769367234336e-06,-4.20215134860972e-09,2.13231125096759e-11,-106.711494015631,-4.61775927539031e-06,-4.22542259727559e-09,2.13237185796494e-11,-106.711370577224
124000,124,0.519409985393512,-5.47103570728417e-06,-3.87063808731578e-09,2.99322466922176e-11,-105.238606841149,-5.47094320250761e-06,-3.84977101283879e-09,2.99312343458011e-11,-105.238753727516,-5.47103570728417e-06,-3.87063808731334e-09,2.99322466922176e-11,-105.238606841149
126000,126,0.527787565803085,-6.26963468697611e-06,-3.45385031240095e-09,3.9308331037216e-11,-104.055153951704,-6.26951512650602e-06,-3.43600822705735e-09,3.93068317276404e-11,-104.055319604703,-6.2696346869761e-06,-3.45385031240202e-09,3.93083310372159e-11,-104.055153951704
