"frequency","ka_viscous","ka_shell","ka_gas","f_bs","sigma_bs","TS"
43000,0.755671468557272,0.183720338381931,0.180117978805815,0.00104996400516582+0.000930716014267274i,1.96865671135741e-06,-57.0583000827083
44000,0.77324522364,0.187992904390813,0.184306769010601,0.000277358680728128-0.00134477082812223i,1.8853364179438e-06,-57.2461114337837
45000,0.790818978722727,0.192265470399695,0.188495559215388,-0.00127807406541942+0.00042220196439125i,1.81172781543356e-06,-57.4190704790331
46000,0.808392733805454,0.196538036408577,0.192684349420174,0.000985798652826445+0.00088003813061837i,1.74626609525671e-06,-57.5788957798645
47000,0.825966488888182,0.20081060241746,0.19687313962496,0.000264921194480785-0.00127181467236977i,1.68769580014016e-06,-57.7270583035618
48000,0.843540243970909,0.205083168426342,0.201061929829747,-0.00121438544984076+0.000400333921541709i,1.63499926952191e-06,-57.8648243703591
49000,0.861113999053636,0.209355734435224,0.205250720034533,0.000940330541955704+0.00083838268495487i,1.58710705456684e-06,-57.9939377794612
50000,0.878687754136363,0.213628300444106,0.20943951023932,0.000251404983821225-0.00121689680702521i,1.54404230483829e-06,-58.1134080470875
51000,0.896261509219091,0.217900866452988,0.213628300444106,-0.00116392718839901+0.000387035659946061i,1.50452310196431e-06,-58.2260113927745
52000,0.913835264301818,0.22217343246187,0.217817090648892,0.000907289110246624+0.000802926799411716i,1.46786497478565e-06,-58.3331389224184
53000,0.931409019384545,0.226445998470752,0.222005880853679,0.000237431276043133-0.00117414541721154i,1.43499107160232e-06,-58.4315080106651
54000,0.948982774467272,0.230718564479634,0.226194671058465,-0.00112261794187772+0.000379421293040773i,1.4042315610385e-06,-58.5256127013425
55000,0.96655652955,0.234991130488517,0.230383461263251,0.000882405742215228+0.00077272010942074i,1.37573626139761e-06,-58.6146481551771
56000,0.984130284632727,0.239263696497399,0.234572251468038,0.000223250246801726-0.00113991821178119i,1.34925420224745e-06,-58.6990622065201
57000,1.00170403971545,0.243536262506281,0.238761041672824,-0.00108782948993896+0.00037576060773066i,1.32456903350298e-06,-58.7792540234362
58000,1.01927779479818,0.247808828515163,0.242949831877611,0.000863627633720314+0.000745413128812648i,1.30149342233161e-06,-58.8555802244703
59000,1.03685154988091,0.252081394524045,0.247138622082397,0.000208960592148204-0.00111184530075662i,1.27986450188551e-06,-58.9283600628831
60000,1.05442530496364,0.256353960532927,0.251327412287183,-0.00106503797222294+0.000378430267335861i,1.27751534951263e-06,-58.9363387305737
61000,1.07199906004636,0.260626526541809,0.25551620249197,0.000849238993015994+0.000720547756162111i,1.24039593616907e-06,-59.0643966528398
62000,1.08957281512909,0.264899092550691,0.259704992696756,0.000194599088596875-0.0010883261352181i,1.22232258188151e-06,-59.1281416476184
63000,1.10714657021182,0.269171658559574,0.263893782901543,-0.00103132883334138+0.00037627743599565i,1.20522387132076e-06,-59.1893227504032
64000,1.12472032529455,0.273444224568456,0.268082573106329,0.000838146061411517+0.000697514209461084i,1.18901489265976e-06,-59.2481270571819
65000,1.14229408037727,0.277716790577338,0.272271363311115,0.000180179572664891-0.00106824898393182i,1.17362057007706e-06,-59.3047228720783
66000,1.15986783546,0.28198935658622,0.276460153515902,-0.00100755421097097+0.000379221492148616i,1.15897442815275e-06,-59.3592614629238
67000,1.17744159054273,0.286261922595102,0.280648943720688,0.000829580718340159+0.000675879709137169i,1.14501754946512e-06,-59.4118785692457
68000,1.19501534562545,0.290534488603984,0.284837733925475,0.000165710975668636-0.00105082708643912i,1.13169769305117e-06,-59.462695694143
69000,1.21258910070818,0.294807054612866,0.289026524130261,-0.000985875875003709+0.000383428359401562i,1.1189685477077e-06,-59.5118212057528
70000,1.23016285579091,0.299079620621748,0.293215314335047,0.000822993758908134+0.000655339890363714i,1.10678909910366e-06,-59.5593512692758
71000,1.24773661087364,0.30335218663063,0.297404104539834,0.000151206431035264-0.00103549973874954i,1.09512309373679e-06,-59.6053706262651
72000,1.26531036595636,0.307624752639513,0.30159289474462,-0.000965868540796403+0.000388634208388367i,1.08393858602983e-06,-59.6499532342856
73000,1.28288412103909,0.311897318648395,0.305781684949407,0.000817989953911974+0.000635688597382982i,1.07320755754366e-06,-59.693162776811
74000,1.30045787612182,0.316169884657277,0.309970475154193,0.00013668875303393-0.00102187170639824i,1.06290559954323e-06,-59.7350530501385
75000,1.31803163120455,0.320442450666159,0.314159265358979,-0.000947243406133614+0.000394641079456785i,1.05301165205843e-06,-59.7756682311966
76000,1.33560538628727,0.324715016675041,0.318348055563766,0.000814288213333034+0.00061680021064464i,1.04350779422438e-06,-59.8150430273078
77000,1.35317914137,0.328987582683923,0.322536845768552,0.000122194938221238-0.00100967691824884i,1.03437908217137e-06,-59.8532027060001
78000,1.37075289645273,0.333260148692805,0.326725635973339,-0.00092982440935243+0.000401297894274309i,1.02561343217659e-06,-59.8901629995282
79000,1.38832665153545,0.337532714701687,0.330914426178125,0.00081169803946899+0.000598621617345839i,1.01720154803155e-06,-59.9259298756333
80000,1.40590040661818,0.34180528071057,0.335103216382911,0.000107781405319429-0.000998759261174439i,1.00913689311434e-06,-59.9604991613023
81000,1.42347416170091,0.346077846719452,0.339292006587698,-0.000913538759583504+0.000408488241872409i,1.00141570900938e-06,-59.9938560019237
82000,1.44104791678364,0.350350412728334,0.343480796792484,0.000810107907585428+0.000581173177577055i,9.9403708426745e-07,-60.0259741319595
83000,1.45862167186636,0.354622978737216,0.34766958699727,9.35316746369496e-05-0.000989067694747142i,9.87003078952819e-07,-60.0568149254806
84000,1.47619542694909,0.358895544746098,0.351858377202057,-0.000898421354602409+0.000416122557018996i,9.80318912865655e-07,-60.0863261862701
85000,1.49376918203182,0.36316811075498,0.356047167406843,0.000809484268549707+0.000564560402109853i,9.73993228659893e-07,-60.1144406238819
86000,1.51134293711454,0.367440676763862,0.36023595761163,7.9569010355127e-05-0.000980666720841063i,9.68038444774057e-07,-60.1410739473532
87000,1.52891669219727,0.371713242772744,0.364424747816416,-0.000884636748735592+0.000424133282423442i,9.62471218472763e-07,-60.1661224867178
