"case","frequency_hz","frequency_khz","ka","f_bs_real","f_bs_imag","sigma_bs","TS"
"bent",106000,106,0.450834388791062,-5.46324876766359e-05,-1.39678680223426e-05,3.17981004682736e-09,-84.975988228076
"bent",108000,108,0.459340698013535,-5.63544839390725e-05,-1.46785127628052e-05,3.39128659696702e-09,-84.6963550652926
"bent",110000,110,0.467847007236008,-5.80840677052863e-05,-1.5407756445672e-05,3.61115787988143e-09,-84.4235352379626
"bent",112000,112,0.476353316458481,-5.98201212630686e-05,-1.61554166719823e-05,3.8394443957736e-09,-84.1573161763969
"bent",114000,114,0.484859625680954,-6.1561526024163e-05,-1.69212897566175e-05,4.0761515334511e-09,-83.8974967919987
"bent",116000,116,0.493365934903427,-6.3307163300925e-05,-1.77051508887833e-05,4.32126929320457e-09,-83.6438866844726
"bent",118000,118,0.501872244125899,-6.50559150786791e-05,-1.85067543112251e-05,4.57477204186036e-09,-83.3963054169124
"bent",120000,120,0.510378553348372,-6.68066647831927e-05,-1.93258335179726e-05,4.83661830061828e-09,-83.1545818519294
"bent",122000,122,0.518884862570845,-6.85582980426975e-05,-2.01621014703939e-05,5.10675056621381e-09,-82.9185535427731
"bent",124000,124,0.527391171793318,-7.03097034438895e-05,-2.10152508313258e-05,5.38509516587122e-09,-82.6880661740824
"bent",126000,126,0.535897481015791,-7.20597732813526e-05,-2.18849542170279e-05,5.67156214644135e-09,-82.4629730475102
"bent",128000,128,0.544403790238264,-7.38074042998495e-05,-2.27708644666967e-05,5.96604519804211e-09,-82.2431346079864
"bent",130000,130,0.552910099460737,-7.55514984289368e-05,-2.36726149292559e-05,6.26842161244646e-09,-82.0284180068445
"bent",132000,132,0.56141640868321,-7.72909635093677e-05,-2.45898197671288e-05,6.57855227638629e-09,-81.818696698441
"bent",134000,134,0.569922717905682,-7.90247140107538e-05,-2.55220742766807e-05,6.89628169986583e-09,-81.6138500672532
"bent",136000,136,0.578429027128155,-8.07516717399661e-05,-2.64689552250056e-05,7.22143807950259e-09,-81.4137630827498
"bent",138000,138,0.586935336350628,-8.24707665397685e-05,-2.74300212027171e-05,7.5538333968385e-09,-81.2183259796118
"bent",140000,140,0.595441645573101,-8.41809369771804e-05,-2.84048129923907e-05,7.8932635514887e-09,-81.0274339611186
"bent",142000,142,0.603947954795574,-8.58811310210844e-05,-2.93928539522882e-05,8.2395085289212e-09,-80.8409869237366
"bent",144000,144,0.612454264018047,-8.7570306708597e-05,-3.03936504149851e-05,8.59233260258608e-09,-80.6588892011379
"bent",146000,146,0.62096057324052,-8.92474327997409e-05,-3.14066921005062e-05,8.95148457004026e-09,-80.481049326048
"bent",148000,148,0.629466882462993,-9.09114894199622e-05,-3.24314525435632e-05,9.31669802264129e-09,-80.3073798084743
"bent",150000,150,0.637973191685465,-9.25614686900516e-05,-3.34673895344761e-05,9.68769164831176e-09,-80.137796929005
"bent",152000,152,0.646479500907938,-9.41963753430397e-05,-3.45139455733471e-05,1.00641695668068e-08,-79.9722205459872
"bent",154000,154,0.654985810130411,-9.58152273276582e-05,-3.55705483370476e-05,1.04458216968491e-08,-79.8105739155048
"bent",156000,156,0.663492119352884,-9.74170563979553e-05,-3.66366111585628e-05,1.08323241544261e-08,-79.6527835231734
"bent",158000,158,0.671998428575357,-9.90009086886868e-05,-3.77115335182335e-05,1.12233396814826e-08,-79.4987789268571
"bent",160000,160,0.68050473779783,-0.000100565845276104,-3.879470154642e-05,1.16185181041731e-08,-79.3484926094927
"bent",162000,162,0.689011047020303,-0.00010211094272379,-3.98854885371094e-05,1.20174968197851e-08,-79.2018598412754
"bent",164000,164,0.697517356242775,-0.000103635293613187,-4.09832554719685e-05,1.24199013113721e-08,-79.058818550529
"bent",166000,166,0.706023665465248,-0.000105138007058502,-4.20873515543508e-05,1.28253456890931e-08,-78.9193092026353
"bent",168000,168,0.714529974687721,-0.000106618209205676,-4.3197114752743e-05,1.32334332571869e-08,-78.7832746864564
"bent",170000,170,0.723036283910194,-0.000108075043715111,-4.4311872353139e-05,1.3643757105464e-08,-78.6506602077268
"bent",172000,172,0.731542593132667,-0.000109507672227895,-4.54309415198206e-05,1.40559007241494e-08,-78.5214131889369
"bent",174000,174,0.74004890235514,-0.000110915274815246,-4.65536298640137e-05,1.44694386408571e-08,-78.3954831752694
"bent",176000,176,0.748555211577613,-0.00011229705041094,-4.76792360198899e-05,1.48839370784376e-08,-78.2728217461833
"bent",178000,178,0.757061520800086,-0.00011365221722649,-4.88070502273705e-05,1.52989546323943e-08,-78.153382432277
"bent",180000,180,0.765567830022558,-0.000114980013148865,-4.99363549211942e-05,1.57140429665285e-08,-78.0371206370858
"bent",182000,182,0.774074139245031,-0.00011627969612056,-5.10664253256977e-05,1.61287475254349e-08,-77.9239935635014
"bent",184000,184,0.782580448467504,-0.000117550544501838,-5.21965300547591e-05,1.65426082624359e-08,-77.8139601445226
"bent",186000,186,0.791086757689977,-0.000118791857414975,-5.33259317163528e-05,1.6955160381517e-08,-77.7069809780696
"bent",188000,188,0.79959306691245,-0.000120002955070395,-5.44538875211588e-05,1.73659350917943e-08,-77.6030182656154
"bent",190000,190,0.808099376134923,-0.000121183179074533,-5.55796498946694e-05,1.77744603730244e-08,-77.5020357544069
"bent",192000,192,0.816605685357396,-0.000122331892719356,-5.67024670922361e-05,1.8180261750646e-08,-77.4039986830641
"bent",194000,194,0.825111994579869,-0.000123448481253431,-5.78215838164992e-05,1.85828630788272e-08,-77.3088737303648
"bent",196000,196,0.833618303802341,-0.000124532352134483,-5.89362418366401e-05,1.89817873299738e-08,-77.216628967033
"bent",198000,198,0.842124613024814,-0.000125582935263381,-6.00456806089034e-05,1.93765573891529e-08,-77.1272338103672
"bent",2e+05,200,0.850630922247287,-0.000126599683199521,-6.11491378978275e-05,1.97666968518667e-08,-77.0406589815528
"bent",202000,202,0.85913723146976,-0.000127582071357599,-6.22458503976384e-05,2.01517308236207e-08,-76.9568764655187
"bent",204000,204,0.867643540692233,-0.000128529598185748,-6.3335054353248e-05,2.05311867197186e-08,-76.8758594732058
"bent",206000,206,0.876149849914706,-0.000129441785325089,-6.44159861803165e-05,2.0904595063729e-08,-76.7975824061255
"bent",208000,208,0.884656159137179,-0.000130318177750702,-6.54878830838305e-05,2.12714902830651e-08,-76.7220208230983
"bent",210000,210,0.893162468359652,-0.000131158343894096,-6.65499836746636e-05,2.16314115001399e-08,-76.6491514090666
"bent",212000,212,0.901668777582124,-0.000131961875747209,-6.76015285835778e-05,2.19839033175582e-08,-76.5789519458885
"bent",214000,214,0.910175086804597,-0.000132728388948073,-6.8641761072148e-05,2.23285165958369e-08,-76.5114012850232
"bent",216000,216,0.91868139602707,-0.000133457522848193,-6.96699276400757e-05,2.26648092221494e-08,-76.4464793220276
"bent",218000,218,0.927187705249543,-0.000134148940561799,-7.06852786283872e-05,2.29923468686257e-08,-76.3841669727901
"bent",220000,220,0.935694014472016,-0.000134802328997076,-7.16870688180003e-05,2.33107037387527e-08,-76.3244461514336
"bent",222000,222,0.944200323694489,-0.000135417398869546,-7.26745580231643e-05,2.36194633004559e-08,-76.2672997498239
"bent",224000,224,0.952706632916962,-0.000135993884697731,-7.36470116792768e-05,2.39182190044673e-08,-76.2127116186292
"bent",226000,226,0.961212942139434,-0.00013653154478132,-7.46037014245966e-05,2.42065749866239e-08,-76.1606665498768
"bent",228000,228,0.969719251361907,-0.000137030161161989,-7.55439056753741e-05,2.44841467527705e-08,-76.1111502609625
"bent",230000,230,0.97822556058438,-0.000137489539567117,-7.64669101939418e-05,2.47505618449861e-08,-76.0641493800687
"bent",232000,232,0.986731869806853,-0.000137909509336594,-7.73720086492982e-05,2.50054604878872e-08,-76.019651432956
"bent",234000,234,0.995238179029326,-0.000138289923332976,-7.82585031697525e-05,2.52484962138104e-08,-75.9776448310938
"bent",236000,236,1.0037444882518,-0.000138630657835209,-7.91257048871873e-05,2.54793364657171e-08,-75.9381188611023
"bent",238000,238,1.01225079747427,-0.000138931612416216,-7.99729344725197e-05,2.56976631767155e-08,-75.9010636754808
"bent",240000,240,1.02075710669674,-0.00013919270980458,-8.079952266195e-05,2.59031733251409e-08,-75.8664702846016
