frequency,ka,acousticTS,echoSMs,sphereTS,noaa_applet
29000.0,2.34965526497757,-39.7998401495999,-39.799840149599945,-39.79984014959459,-39.7998401495999
30000.0,2.43067786032162,-39.7002334067452,-39.7002334067453,-39.70023340674529,-39.70023340674516
31000.0,2.51170045566568,-39.8005143434008,-39.80051434340081,-39.80051434340117,-39.80051434340083
32000.0,2.59272305100973,-40.0863662305151,-40.08636623051512,-40.08636623051589,-40.08636623051514
33000.0,2.67374564635379,-40.5323096608173,-40.53230966081724,-40.53230966081907,-40.532309660817276
34000.0,2.75476824169784,-41.0911236183045,-41.091123618304415,-41.091123618308636,-41.091123618304486
35000.0,2.83579083704189,-41.6794203535289,-41.679420353528684,-41.67942035353815,-41.679420353528855
36000.0,2.91681343238595,-42.1699084764806,-42.16990847648026,-42.169908476480266,-42.16990847648056
37000.0,2.99783602773,-42.4167635807306,-42.41676358073002,-42.41676358073004,-42.41676358073063
38000.0,3.07885862307406,-42.3296920811525,-42.32969208115144,-42.329692081151435,-42.32969208115249
39000.0,3.15988121841811,-41.9394929071255,-41.93949290712375,-41.939492907123764,-41.939492907125455
40000.0,3.24090381376216,-41.373068541494,-41.37306854149139,-41.37306854149142,-41.37306854149401
41000.0,3.32192640910622,-40.7712453130136,-40.77124531300978,-40.771245313009786,-40.771245313013566
42000.0,3.40294900445027,-40.2371867775379,-40.2371867775325,-40.237186777532514,-40.23718677753783
43000.0,3.48397159979433,-39.83098736916,-39.83098736915263,-39.83098736915985,-39.830987369159885
44000.0,3.56499419513838,-39.5823604391078,-39.58236043910801,-39.58236043910786,-39.582360439107845
45000.0,3.64601679048243,-39.5026713313982,-39.50267133139837,-39.50267133139839,-39.50267133139817
46000.0,3.72703938582649,-39.5915674703179,-39.59156747031807,-39.5915674703181,-39.59156747031789
47000.0,3.80806198117054,-39.8384818746607,-39.83848187466069,-39.83848187466083,-39.83848187466073
48000.0,3.8890845765146,-40.2197641236338,-40.219764123632906,-40.219764123633084,-40.21976412363382
49000.0,3.97010717185865,-40.6920908649183,-40.69209086491493,-40.69209086491515,-40.69209086491828
50000.0,4.05112976720271,-41.1845870640091,-41.184587063999416,-41.18458706400929,-41.184587064008895
51000.0,4.13215236254676,-41.5978489495077,-41.597848949483875,-41.597848949508005,-41.59784894950725
52000.0,4.21317495789081,-41.82477352636,-41.82477352630802,-41.82477352636031,-41.82477352635889
53000.0,4.29419755323487,-41.7979743898133,-41.79797438971252,-41.79797438981354,-41.79797438981097
54000.0,4.37522014857892,-41.5309407387152,-41.53094073853934,-41.53094073871553,-41.53094073871111
55000.0,4.45624274392298,-41.1083640369189,-41.108364036634775,-41.10836403691876,-41.10836403691201
56000.0,4.53726533926703,-40.636960855894,-40.63696085590533,-40.63696085590521,-40.63696085589428
57000.0,4.61828793461108,-40.2053419280313,-40.205341928048874,-40.205341928048725,-40.205341928031764
58000.0,4.69931052995514,-39.8719270072361,-39.87192700726295,-39.871927007236216,-39.871927007236785
59000.0,4.78033312529919,-39.6693464105369,-39.669346410577624,-39.669346410536924,-39.669346410537905
60000.0,4.86135572064325,-39.6120424658455,-39.612042465907045,-39.61204246584547,-39.612042465847026
61000.0,4.9423783159873,-39.7014016609225,-39.70140166101483,-39.70140166092257,-39.70140166092497
62000.0,5.02340091133135,-39.9272774356445,-39.92727743578015,-39.92727743564458,-39.92727743564822
63000.0,5.10442350667541,-40.2661432183177,-40.26614321850965,-40.26614321831772,-40.26614321832308
64000.0,5.18544610201946,-40.6767573017355,-40.67675730173532,-40.67675730172805,-40.67675730173532
65000.0,5.26646869736352,-41.0960541630923,-41.09605416309211,-41.09605416308362,-41.096054163092134
66000.0,5.34749129270757,-41.4418784920284,-41.441878492028216,-41.44187849202842,-41.441878492028216
67000.0,5.42851388805162,-41.6316540505854,-41.63165405058544,-41.63165405058538,-41.63165405058545
68000.0,5.50953648339568,-41.6165091069895,-41.616509107014615,-41.616509106989604,-41.61650910699023
